componentId,type,circuit_label,port,label,roleKeyPrimary,roleKeyFallback,csv_column,sensor_number,current_value
compressor_a91fd4,Compressor,,inlet,Compressor Inlet,Compressor.compressor_a91fd4.inlet,compressor_a91fd4.inlet,Suction line into Comp,59,49.649711338888885
compressor_a91fd4,Compressor,,outlet,Compressor Outlet,Compressor.compressor_a91fd4.outlet,compressor_a91fd4.outlet,Discharge line from comp,121,131.30724765069445
compressor_a91fd4,Compressor,,SP,Suction Pressure,Compressor.compressor_a91fd4.SP,compressor_a91fd4.SP,Suction Presure ,129,36.94555625416667
compressor_a91fd4,Compressor,,DP,Discharge Pressure,Compressor.compressor_a91fd4.DP,compressor_a91fd4.DP,Liquid Pressure ,130,123.94437709583335
compressor_a91fd4,Compressor,,RPM,Compressor RPM,Compressor.compressor_a91fd4.RPM,compressor_a91fd4.RPM,Compressor RPM,131,3366.361604411111
condenser_fba9eb,Condenser,,inlet,Condenser Inlet,Condenser.condenser_fba9eb.inlet,condenser_fba9eb.inlet,Ref Temp in HeatX,117,133.61266278680554
condenser_fba9eb,Condenser,,outlet,Condenser Outlet,Condenser.condenser_fba9eb.outlet,condenser_fba9eb.outlet,Ref Temp out HeatX,118,84.19934539444445
junction_fddd85,Junction,,sensor,Junction Sensor,Junction.junction_fddd85.sensor,junction_fddd85.sensor,,,
junction_fddd85,Junction,,inlet_1,Junction Inlet 1,Junction.junction_fddd85.inlet_1,junction_fddd85.inlet_1,Liquid into main distributor,128,73.06446710694445
junction_fddd85,Junction,,outlet_1,Junction Outlet 1,Junction.junction_fddd85.outlet_1,junction_fddd85.outlet_1,,,
junction_fddd85,Junction,,outlet_2,Junction Outlet 2,Junction.junction_fddd85.outlet_2,junction_fddd85.outlet_2,,,
junction_fddd85,Junction,,outlet_3,Junction Outlet 3,Junction.junction_fddd85.outlet_3,junction_fddd85.outlet_3,,,
txv_18cc9b,TXV,Left,inlet,TXV Left Inlet,TXV.txv_18cc9b.inlet,txv_18cc9b.inlet,Left TXV Inlet,32,75.63858097013889
txv_18cc9b,TXV,Left,outlet,TXV Left Outlet,TXV.txv_18cc9b.outlet,txv_18cc9b.outlet,,,
txv_18cc9b,TXV,Left,bulb,TXV Left Bulb,TXV.txv_18cc9b.bulb,txv_18cc9b.bulb,,,
